"","x"
"Hemidactylium20001",118.624091260417
"Pseudoeurycea_rex_CEA",116.12980490625
"S._marginatus_CEA",110.656168677083
"G._porph_danielsi_ABS010",110.656168677083
"P._m._diastictus_KY_71757",110.66146890625
"P._ruber_VA_KHK585",110.66146890625
"E._multiplicata_CEA",107.230093947917
"E._quad_MS_KHK192",106.388605135417
"E._tonkawae_NEW",106.388605135417
"E._lucifuga_TN_KHK698",105.692824177083
"E._longicauda_KY_KHK388",105.646791364583
"E._gutt_NC_KHK330",105.646791364583
"E._wild_cirr_E_KHK71203",104.99939653125
"E._cirrigera_D_KHK419",104.99939653125
"E._bislineata_A",105.018534010417
"E._cirrigera_C_KHK245",105.018534010417
"E._aquatica_61299",104.73279653125
"E._junaluska_KHK8.280",104.73279653125
"E._wild_cirr_J_KHK8.234",104.635002135417
"E._cirrigera_L_KHK174",104.600946135417
"E._wilderae_M_KHK8.95",104.600946135417
"P_elongatus",95.4442941979167
"P_serratus",81.2768405104167
"P_hoffmani",80.2389956979167
"P_virginia",80.2389956979167
"P_cinereus",80.2132914895833
"P_shenandoah",80.2132914895833
"P_electromorphus",80.0250751145833
"P_richmondi",80.0250751145833
"P_nettingi",80.0530025729167
"P_hubrichti",80.0530025729167
"P_websteri",79.98284059375
"P_wehrlei",79.48385040625
"P_punctatus",79.48385040625
"P_welleri",79.5417823020833
"P_angusticlavius",79.3202178229167
"P_ventralis",79.28123840625
"P_dorsalis",79.28123840625
"P_yonahlossee",76.2295559479167
"P_kentucki",75.62712540625
"P_petraeus",75.62712540625
"P_metcalfi",75.3029081354167
"P_jordani",75.3029081354167
"P_caddoensis",75.22621603125
"P_montanus",74.1342821354167
"P_amplus",74.0774113229167
"P_meridianus",74.0774113229167
"P_shermani",73.78839759375
"P_chattahoochee",73.7756138854167
"P_cheoah",73.7756138854167
"P_chlorobryonis",73.6816604479167
"P_variolatus",73.6816604479167
"P_teyahalee",73.7014219895833
"P_cylindraceus",73.7014219895833
"P_aureolus",74.16645009375
"P_glutinosus",74.16645009375
"P_mississippi",73.7551545104167
"P_kiamichi",73.7551545104167
"P_sequoyah",73.60772284375
"P_albagula",73.60772284375
"P_grobmani",73.5540550729167
"P_kisatchie",73.5372596354167
"P_savannah",73.5209701979167
"P_ocmulgee",73.5209701979167
"Hydromantes_shastae",98.70127496875
"EnsatinaTWR569_CEA",97.8912477395833
"Aneides_aeneus",96.6862198645833
"Aneides_hardii",96.6862198645833
"Phaeognathus_hubritchti",94.1498466145833
"D._wrighti_KHK73",88.8742539270833
"D._wrighti_KHK310",88.8742539270833
"D._aeneus_KHK51",85.26766790625
"D._quad_D_KHK499",84.38152990625
"D._folkertsi_KHK340",84.3101163645833
"D._quad_A_KHK52",84.3101163645833
"D._imitator_KHK05",83.3725272604167
"D._ocoee_A_KHK01",82.69982503125
"D._ocoee_B_KHK62",82.64676953125
"D._ocoee_D_KHK53",82.55510540625
"D._ocoee_C_KHK56",82.55510540625
"D._orestes_KHK129",82.0849201979167
"D._ochrophaeus_WKS05",82.0849201979167
"D._welteri_KHK414",82.1555610520833
"D._fuscus_B_KHK570",82.0962937395833
"D._fuscus_A_RMB513",82.0962937395833
"D._apalachicolae_KHK157",81.81694584375
"D._monticola_A",81.6203555520833
"D._monticola_B",81.6203555520833
"D._ocoee_E_KHK31",81.7152572395833
"D._ocoee_F_KHK22",81.68466559375
"D._ocoee_G_RMB268",81.68466559375
"D._brimleyorum",81.92324728125
"D._carolinensis_KHK103",81.92324728125
"D._conanti_A_8399",81.8025604270833
"D._santeetlah_11775",81.78939696875
"D._conanti_D_KHK227",81.7893979479167
